"$theta_scan [deg]","mag(S(FloquetPort1:2,WavePort:1)) [] - Freq='47.625GHz'","mag(S(FloquetPort1:4,WavePort:2)) [] - Freq='47.625GHz'"
47,0.000291406279282041,8.28515476565236E-09
47.5,0.000291443382803806,8.30317978113044E-09
48,0.000291480660566336,8.30492036805056E-09
48.5,0.000291518307347451,8.30671488048865E-09
49,0.000291556170219349,8.30854088926694E-09
49.5,0.000291594285805495,8.3104226022508E-09
50,0.000291632622015075,8.31237928336645E-09
50.5,0.000291671215436197,8.31432268742381E-09
51,0.000291710005296222,8.31635351494676E-09
51.5,0.000291710400743815,1.40340404866756E-08
52,0.000291750387793575,1.40399314101927E-08
52.5,0.000291790488564955,1.40458713017455E-08
53,0.00029183083198918,1.40519511327531E-08
53.5,0.000291871287313213,1.40581530410104E-08
54,0.000291911751346421,1.4064351172291E-08
54.5,0.000291952404326367,1.40713256736519E-08
55,0.000291993090306952,1.40777070247412E-08
55.5,0.000292031990487606,7.529489063797E-09
56,0.000292072902662482,7.53215440365803E-09
56.5,0.000292113867097648,7.53483921341983E-09
57,0.000292154840431669,7.53748777006922E-09
57.5,0.000292195803389881,7.54017616906014E-09
58,0.000292236791374886,7.54282508579538E-09
58.5,0.000292280689312173,8.40084216887759E-09
59,0.000292321482578933,8.40374940595735E-09
59.5,0.000292362233637551,8.40662750953066E-09
60,0.000292402830759929,8.47927470328662E-09
60.5,0.000292443405372122,8.48249079461074E-09
61,0.000292483792585325,8.48559541923568E-09
61.5,0.000292523966106037,8.48863332441172E-09
62,0.000292563969638723,8.49169553337449E-09
62.5,0.000292603865772149,8.49471507822184E-09
63,0.000292643483847084,8.49771969637855E-09
63.5,0.000292682854544217,8.50070102712887E-09
64,0.000292721951287872,8.50361846092545E-09
64.5,0.00029276083770143,8.5065336639057E-09
65,0.000292799295140697,8.50941854912444E-09
65.5,0.000292837504182244,8.51226461041825E-09
66,0.000292875343313961,8.51504080004537E-09
66.5,0.000292912821978081,8.51782175956283E-09
67,0.000295397779721361,6.75050832405084E-09
67.5,0.000294978141641779,6.4063630845622E-09
68,0.000295014948112327,6.4050000549827E-09
68.5,0.000295051277160377,6.40364115328958E-09
69,0.00029508726163613,6.24891275311943E-09
69.5,0.00029512260505174,6.24723166817215E-09
70,0.000295157446433743,6.24559251873256E-09
70.5,0.000295191693060069,6.24396535110848E-09
71,0.000295225414365742,6.24237904526587E-09
71.5,0.000295258566034017,6.24082659119603E-09
72,0.000295291034268439,6.23931035909889E-09
72.5,0.000295322963962311,6.2378218992303E-09
73,0.000295354231677508,6.23638214946154E-09
73.5,0.00029538476318578,6.23497609444803E-09
74,0.00029541462597686,6.23359102698865E-09
74.5,0.00029544378543658,6.23228865609404E-09
75,0.00029547229126496,6.23097999890091E-09
75.5,0.000295500000680269,6.22971480343721E-09
76,0.000295526959317823,6.22849107304199E-09
76.5,0.000295553152695408,6.22729281100213E-09
77,0.000295578503607372,6.22615325408778E-09
77.5,0.000295603085102793,6.22318982392251E-09
78,0.000295626825527347,6.22211524965579E-09
78.5,0.00029564975027618,6.22108169759672E-09
79,0.000295671775020732,6.22009487649549E-09
79.5,0.000295692957551771,6.21914748699584E-09
80,0.000295713246997241,6.21823513573484E-09
80.5,0.000295732665372657,6.21736509414997E-09
81,0.000295751130774792,6.21654318162023E-09
81.5,0.000295768698784736,6.2157609753748E-09
82,0.000295785279999221,6.21502142599736E-09
82.5,0.000295800942837593,6.21432537708289E-09
83,0.000295815675425073,6.21367188587338E-09
83.5,0.000295829408378143,6.21305588762378E-09
84,0.000295842165514105,6.21249329046962E-09
84.5,0.000295853926769336,6.21197672374054E-09
85,0.000295864702345761,6.21148566026793E-09
85.5,0.000295874502430489,6.21106741093108E-09
86,0.000295883242518276,6.2106727803707E-09
86.5,0.000295891004617891,6.21032235887635E-09
87,0.000295897745914267,6.2100381014865E-09
87.5,0.00029590339054268,6.20979118334654E-09
88,0.000295908066578258,6.2095692840394E-09
88.5,0.00029591171331225,6.20941585029433E-09
89,0.000295914301136034,6.209296294545E-09
89.5,0.000295915867192593,6.20923681615266E-09
90,0.000295916385551202,6.20920576289402E-09
